"","ctrl_A","ctrl_B","IL6_A","IL6_B","IL10_A","IL10_B","IL6IL10_A","IL6IL10_B","X1","X2","X3","X4"
"Mrpl15",518.2512908,506.502464,581.5501082,527.4439081,523.5320482,488.7695866,578.0156712,545.2752594,0,0,0,0
"Lypla1",1224.866993,1132.123096,1159.559576,1293.12185,1192.438549,1212.222491,1209.661662,1185.886492,0,0,0,0
"Tcea1",1200.947703,1073.064509,1256.927174,1300.404113,1209.000196,1186.351889,1350.689541,1344.004691,0,0,0,0
"Atp6v1h",1959.388534,1891.876792,2409.405471,2453.082318,2312.189872,2405.96598,2582.200593,2592.673408,0,0,0,0
"Rb1cc1",1537.811042,1519.507392,1274.630374,1388.831592,1337.813002,1496.799112,1406.306169,1231.229211,0,0,0,0
"St18",631.8679199,590.585877,215.0938756,258.0001759,141.6940869,191.2576643,173.801963,191.8345795,0,0,0,0
"Pcmtd1",1592.626082,1531.519308,1492.37973,1521.992973,1514.470565,1509.734413,1560.245051,1664.891624,0,0,0,0
"Rrs1",391.6783794,389.3862816,562.0765886,573.2181328,532.7329629,485.9977364,617.7418342,615.0332883,0,0,0,0
"Adhfe1",25.91256454,19.01886722,34.5212393,29.12905212,38.64384187,27.71850208,28.80146815,24.41531012,0,0,0,0
"2610203C22Rik",28.90247583,38.03773445,40.71735917,31.2096987,29.44292714,39.72985298,30.7877763,34.87901446,0,0,0,0
"Mybl1",55.81167747,44.04369252,21.24383957,24.96775896,23.00228683,31.41430235,25.82200593,27.90321157,0,0,0,0
"Vcpip1",2327.147623,2329.310738,1810.152163,2082.727227,1985.557399,2149.107861,1892.951666,2071.813459,0,0,0,0
"Sgk3",1866.701284,1825.811253,2073.929838,2284.549945,2230.301731,2159.271312,2254.459749,2320.617096,0,0,0,0
"Snhg6",164.4451211,159.1578889,143.3959171,113.3952386,161.0160078,102.5584577,124.1442593,120.9139168,0,0,0,0
"Cops5",1071.38488,1043.034718,1370.227652,1277.517,1301.929434,1272.279245,1390.415704,1395.160578,0,0,0,0
"Cspp1",375.7321858,377.3743654,350.5233529,396.3631735,363.4361319,359.4165769,320.788766,331.3506374,0,0,0,0
"Arfgef1",2778.624228,2799.777454,2839.593222,3259.332868,2900.128323,3182.084038,3077.784476,3044.937963,0,0,0,0
"Slco5a1",23.91929034,34.0337624,8.85159982,7.28226303,15.64155504,12.0113509,11.91784889,10.46370434,0,0,0,0
"Ncoa2",2559.364067,2836.814195,2148.283276,2301.195118,2153.934138,2535.31899,2099.527713,2041.58498,0,0,0,0
"Tram1",4671.238077,4542.506287,5146.320135,5254.672938,5168.153804,5197.219139,5382.895083,5199.298422,0,0,0,0
"Lactb2",799.3029524,813.8073186,1002.0011,1039.282967,1033.262724,976.6152231,1042.811778,1042.882532,0,0,0,0
"Eya1",595.9889844,762.756675,398.3219919,387.0002639,460.965828,505.4006878,414.145249,377.85599,0,0,0,0
"Terf1",281.0516616,264.2621551,231.0267553,196.6211018,219.9018621,228.2156671,214.52128,223.2256926,0,0,0,0
"Rpl7",5593.127392,5399.356306,5614.569766,5230.745502,5574.834235,5043.843428,5533.854502,5513.209553,0,0,0,0
"Rdh10",368.7557261,325.3227288,224.8306354,250.7179129,276.9475334,261.4778696,217.5007423,230.2014954,0,0,0,0
"Stau2",152.4854759,148.1469657,157.5584768,153.9678469,147.2146357,161.6912621,166.8498845,154.6302974,0,0,0,0
"Ube2w",720.5686216,634.6295695,849.7535827,752.1537387,832.6827831,814.923961,917.6743646,862.674291,0,0,0,0
"Eloc",998.6303719,910.9036407,1229.487215,1082.976545,1118.831231,1045.911478,1267.264599,1288.198267,0,0,0,0
"Tmem70",511.2748311,552.5481425,547.9140288,584.661689,545.6142435,534.9670901,562.125206,535.9741889,0,0,0,0
"Ly96",564.0965973,502.4984919,399.2071519,415.0889927,487.6484807,387.135079,426.0630979,398.7833987,0,0,0,0
"Mcm3",1142.146114,1132.123096,1101.139018,947.7345172,923.7718389,985.8547238,911.7154402,958.0102639,0,0,0,0
"Paqr8",25.91256454,29.02879734,49.56895899,78.02424675,54.28539691,67.44835505,46.67824149,58.13169077,0,0,0,0
"Efhc1",15.94619356,13.01290915,20.35867959,15.60484935,14.72146357,19.40295145,16.88361926,10.46370434,0,0,0,0
"Tram2",109.6300807,111.1102243,198.275836,256.9598526,165.6164651,219.9001165,196.6445067,206.9488191,0,0,0,0
"Tmem14a",45.84530649,31.03078337,30.09543939,40.57260831,30.36301861,31.41430235,24.82885186,25.57794394,0,0,0,0
"Gsta3",112.619992,126.1251195,61.07603876,58.25810424,61.64612869,62.82860471,56.60978223,48.83062025,0,0,0,0
"Ogfrl1",748.4744604,732.7268846,909.0593015,907.1619089,955.9750405,887.9160165,1038.839162,927.7817847,0,0,0,0
"B3gat2",18.93610486,18.01787421,12.39223975,14.56452606,23.9223783,18.47900138,16.88361926,23.25267631,0,0,0,0
"Smap1",728.5417184,754.7487309,754.1563046,765.6779415,780.2375692,779.8138584,839.2151928,795.2415297,0,0,0,0
"Sdhaf4",235.2063551,222.2204486,220.4048355,158.1291401,182.1781117,203.2690152,200.617123,182.533509,0,0,0,0
"Fam135a",95.67716138,132.1310776,133.6591573,97.79038926,104.8904279,108.1021581,118.1853348,122.0765506,0,0,0,0
"Lmbrd1",2801.546882,2701.680139,2333.281712,2506.138806,2425.361123,2490.045436,2385.556086,2403.164096,0,0,0,0
"Gm7846",155.4753872,123.1221404,144.2810771,109.2339455,169.296831,123.8093093,175.7882711,141.8413255,0,0,0,0
"Phf3",2402.892043,2462.442809,2340.362992,2508.219452,2376.596275,2624.018197,2371.651929,2614.763451,0,0,0,0
"Ptp4a1",661.7670329,641.6365206,859.4903425,903.0006158,785.758118,886.9920664,971.3046846,847.5600514,0,0,0,0
"Prim2",280.0550245,317.3147847,291.2176341,214.3065977,255.7854295,242.9988682,242.3295941,275.5442142,0,0,0,0
"Rab23",102.6536211,108.1072453,102.6785579,89.46780294,100.2899706,98.8626574,81.43863409,80.22173326,0,0,0,0
"Bag2",32.88902422,50.04965059,36.29155926,42.65325489,40.48402481,37.88195284,48.66454964,30.2284792,0,0,0,0
"Zfp451",421.5774923,446.4428833,418.6806715,459.8228942,437.0434497,466.5947849,439.9672549,468.5414276,0,0,0,0
"Gm15455",93.68388718,119.1181684,120.3817575,112.3549153,107.6507023,140.4404105,126.1305674,97.66124049,0,0,0,0
"Dst",778.3735733,831.8251928,611.6455475,810.4118429,602.6599149,725.3008043,612.7760638,698.7429231,0,0,0,0
"Ccdc115",946.8052428,977.9701725,1413.600491,1285.839586,1230.162299,1175.264488,1574.149208,1482.358115,0,0,0,0
"Imp4",1162.078856,1214.204523,1528.671289,1352.420277,1399.459131,1356.358702,1508.601039,1521.887664,0,0,0,0
"D1Ertd448e",195.3408711,222.2204486,250.5002749,291.2905212,237.3836,251.3144188,266.1652919,238.3399322,0,0,0,0
"Ptpn18",2530.461591,2669.648362,2598.829707,2456.203288,2915.769878,2423.521031,2591.13898,2505.475872,0,0,0,0
"Arhgef4",219.2601615,246.2442809,114.1856377,145.6452606,126.9726233,121.0374591,115.2058726,113.9381139,0,0,0,0
"Fam168b",7915.29183,8197.131774,7376.92329,7725.440752,7161.992026,7774.115882,7285.778289,7192.052782,0,0,0,0
"Plekhb2",5697.774288,5622.577747,5087.014416,5041.406664,4852.562429,5082.649331,4996.558148,5280.68279,0,0,0,0
"Hs6st1",1834.808897,2020.003898,1294.103894,1309.767022,1234.762757,1268.583445,1181.853348,1220.765506,0,0,0,0
"Uggt1",3975.585383,3876.845935,4330.202632,4619.035408,4246.222148,4614.206646,4608.234905,4629.607853,0,0,0,0
